index,x,y,is_super,final_state,secondary_infections
266,9.687479,4.105588,0,2,1
267,6.349166,0.874880,1,0,0
268,8.987927,3.753231,0,2,0
269,6.722046,7.065303,0,2,1
270,7.872391,3.633030,0,2,1
271,3.206279,1.695954,0,2,0
272,9.211594,0.815630,0,2,1
273,9.265718,2.891003,0,2,0
274,7.067354,9.215494,0,0,0
275,8.764748,4.523849,0,2,2
276,0.028787,2.165157,1,2,12
277,5.011151,5.488751,1,2,1
278,7.559718,3.833748,0,2,1
279,4.230237,2.031364,0,2,0
280,9.218194,5.430141,0,2,2
281,8.839487,2.083792,1,2,6
282,9.909390,8.390059,0,2,0
283,9.254182,1.535531,1,2,1
284,3.564233,6.077204,0,2,0
285,4.821497,8.224508,0,2,2
286,4.322543,3.920247,1,2,7
287,1.060278,2.477425,0,2,0
288,1.337936,8.341624,0,2,0
289,5.283838,7.454651,0,2,1
290,7.046620,4.175307,0,2,0
291,4.085860,3.917377,0,2,2
292,2.814491,8.045611,0,2,0
293,6.391841,9.537351,0,0,0
294,4.237881,1.583683,0,2,0
295,5.052581,5.544519,0,2,0
296,1.133762,9.861736,0,2,0
297,4.911902,8.729546,0,2,0
298,9.525184,8.649085,0,2,2
299,0.127943,7.070954,0,2,1
300,1.011606,8.629898,0,2,0
301,5.889831,2.992884,1,2,1
302,3.943953,6.401133,0,2,0
303,6.976852,9.793984,0,0,0
304,9.935225,7.452564,0,2,0
305,8.870248,4.763177,1,2,0
306,8.567886,6.513661,0,2,1
307,1.148955,5.401901,1,2,1
308,3.298559,3.357990,0,2,0
309,8.153476,7.640796,0,2,2
310,6.131992,2.246669,0,2,0
311,1.427149,7.493766,0,2,2
312,4.216806,5.158714,0,2,0
313,9.586581,0.737926,0,2,0
314,2.647053,6.756563,0,2,0
315,7.164544,3.619500,1,2,6
316,0.311225,8.866560,0,2,0
317,8.005672,1.280206,1,2,1
318,4.161875,0.175902,1,2,1
319,0.266255,1.504049,0,2,0
320,8.557063,6.548755,0,2,0
321,1.117288,2.207853,0,2,1
322,4.429919,4.441322,1,2,0
323,8.975338,3.856065,0,2,0
324,0.618530,6.243645,0,2,0
325,7.180602,2.122087,0,2,0
326,8.396988,7.911720,1,2,5
327,2.449444,8.680546,1,2,1
328,8.749178,6.055939,0,2,0
329,8.521446,1.552415,0,2,0
330,1.409750,4.441273,0,2,0
331,8.812090,3.185932,0,2,0
332,4.722625,9.552102,0,2,1
333,0.444835,8.435903,0,2,0
334,8.427390,2.579477,1,2,3
335,7.049002,3.063063,0,2,0
336,1.400771,7.048441,0,2,1
337,5.699065,4.887328,1,2,0
338,0.957346,0.394982,0,2,0
339,3.504303,3.140282,1,2,6
340,6.625833,7.817619,0,2,1
341,6.931856,6.462296,0,2,0
342,9.746096,4.464632,0,2,0
343,4.729708,3.051208,0,2,1
344,1.212948,8.082801,0,2,0
345,3.177997,0.990683,0,2,2
346,8.778931,3.422238,0,2,0
347,9.761972,8.117720,1,2,0
348,6.046411,1.847852,0,2,0
349,4.570338,2.314999,0,2,1
350,1.111933,6.412952,0,2,1
351,0.572515,3.320044,0,2,0
352,4.087276,4.358235,1,2,0
353,3.450091,0.383654,0,2,0
354,9.144677,1.178317,0,2,1
355,1.003065,3.240416,0,2,0
356,4.713944,4.817473,0,2,0
357,5.412955,5.974245,0,2,0
358,5.228058,2.778805,0,2,0
359,0.498473,3.808980,0,2,2
360,8.101510,2.260626,0,2,0
361,4.896063,6.237127,0,2,0
362,0.397296,0.821946,0,2,0
363,9.081161,0.861132,0,2,1
364,9.068317,7.553246,0,2,0
365,0.255874,7.608370,1,2,4
366,9.187198,8.732218,0,2,1
367,5.305084,2.155784,0,2,0
368,1.428223,9.982876,0,2,0
369,7.944801,0.380918,1,2,0
370,1.677748,7.517289,0,2,0
371,2.206201,3.114999,0,2,0
372,8.081963,9.191075,0,2,0
373,5.662540,5.163375,0,2,1
374,7.291708,4.770619,1,2,3
375,0.826320,5.971988,0,2,0
376,8.262826,1.075008,0,2,0
377,4.802830,3.354856,0,2,1
378,9.590780,0.745244,0,2,0
379,6.001981,8.725396,0,2,0
380,9.076669,3.801713,1,2,3
381,9.478445,4.566765,0,2,0
382,0.072373,5.805302,0,2,0
383,2.072367,9.846702,1,2,1
384,1.515091,2.360391,0,2,0
385,9.657108,6.226334,1,2,2
386,3.661173,8.410159,0,2,1
387,1.925317,1.952154,0,2,1
388,0.157790,2.969011,0,2,0
389,0.636303,5.053120,1,2,7
390,3.649633,6.454332,0,2,1
391,1.861328,4.333240,0,2,0
