index,x,y,is_super,final_state,secondary_infections
445,0.946919,2.577120,1,2,4
446,6.540645,8.815388,0,2,1
447,5.002390,1.939284,0,2,1
448,8.265802,6.650225,0,2,0
449,2.015948,1.949825,0,2,1
450,4.818860,0.233471,0,2,0
451,1.755303,2.328600,0,2,0
452,7.349007,8.952417,0,2,0
453,7.808587,6.482242,0,2,1
454,6.345084,0.760083,0,2,1
455,4.313661,4.050631,1,2,7
456,0.335020,7.119002,0,2,0
457,0.702405,3.248057,0,2,0
458,3.700096,5.903682,1,2,6
459,7.716318,4.093754,1,2,0
460,2.338646,2.664766,0,2,1
461,5.379170,0.793813,0,2,0
462,7.456810,5.025312,0,2,0
463,1.945461,0.515453,0,2,2
464,5.776319,6.545319,0,2,2
465,6.697488,5.651759,0,2,0
466,8.914342,4.023164,0,0,0
467,5.057926,6.483669,0,2,0
468,1.492865,9.446774,1,2,0
469,1.259352,8.484928,0,2,0
470,7.584858,7.668586,0,2,0
471,4.826153,6.856533,1,2,3
472,4.283329,8.881166,0,2,0
473,6.461381,7.586462,0,2,0
474,9.471702,5.528580,0,2,0
475,0.203978,2.605763,0,2,0
476,0.280300,8.822513,0,2,0
